family,family_size,action,old_finish,old_handle,new_finish,new_handle
ATL:138,5,kept,Burnished Bronze,atlas-homewares-138-bb-hammered-medallion-knob-1-1,Burnished Bronze,atlas-homewares-138-bb-hammered-medallion-knob-1-1
ATL:140,3,kept,Polished Chrome,atlas-homewares-140-ch-limited-editions-scroll-knob-1-1,Polished Chrome,atlas-homewares-140-ch-limited-editions-scroll-knob-1-1
ATL:142,3,kept,Burnished Bronze,atlas-homewares-142-bb-nautical,Burnished Bronze,atlas-homewares-142-bb-nautical
ATL:143,3,kept,Burnished Bronze,atlas-homewares-143-bb-nautical,Burnished Bronze,atlas-homewares-143-bb-nautical
ATL:184,1,kept,Aged Bronze,atlas-homewares-184-o-nature-california-leaf-knob-2-1,Aged Bronze,atlas-homewares-184-o-nature-california-leaf-knob-2-1
ATL:185,1,kept,Aged Bronze,atlas-homewares-185-o-nature-california-leaf-pull-3-cc-aged-bronze,Aged Bronze,atlas-homewares-185-o-nature-california-leaf-pull-3-cc-aged-bronze
ATL:190L,2,kept,Burnished Bronze,atlas-homewares-190l-bb-nautical,Burnished Bronze,atlas-homewares-190l-bb-nautical
ATL:190R,2,kept,Burnished Bronze,atlas-homewares-190r-bb-nautical,Burnished Bronze,atlas-homewares-190r-bb-nautical
ATL:2106,5,kept,Burnished Bronze,atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze,Burnished Bronze,atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze
ATL:215,3,kept,Brushed Nickel,atlas-homewares-215-brn-craftsman-modern-pull-5-1,Brushed Nickel,atlas-homewares-215-brn-craftsman-modern-pull-5-1
ATL:2173,4,kept,Burnished Bronze,atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnished-bronze,Burnished Bronze,atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnished-bronze
ATL:2202,1,kept,Aged Bronze,atlas-homewares-2202-o-nature-vineyard-leaf-pull-3-cc-aged-bronze,Aged Bronze,atlas-homewares-2202-o-nature-vineyard-leaf-pull-3-cc-aged-bronze
ATL:2203,1,kept,Aged Bronze,atlas-homewares-2203-o-nature-vineyard-leaf-knob-2-aged-bronze,Aged Bronze,atlas-homewares-2203-o-nature-vineyard-leaf-knob-2-aged-bronze
ATL:2204,4,kept,Brushed Nickel,atlas-homewares-2204-brn-nautical,Brushed Nickel,atlas-homewares-2204-brn-nautical
ATL:2217,4,kept,Brushed Nickel,atlas-homewares-2217-brn-nautical,Brushed Nickel,atlas-homewares-2217-brn-nautical
ATL:2231,5,kept,Polished Chrome,atlas-homewares-2231-ch-nature-bamboo-pull-3-cc-polished-chrome,Polished Chrome,atlas-homewares-2231-ch-nature-bamboo-pull-3-cc-polished-chrome
