family_root,product_handle,sku,title,vendor,finish_name,was_tagged_primary,family_size,family_finishes_json_truncated
ATL:138,atlas-homewares-138-bb-hammered-medallion-knob-1-1,ATL-138-BB,Hammered Medallion Knob 1 1/2'' Burnished Bronze 138-BB,Atlas Homewares,Burnished Bronze,yes,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-138-o-hammered-medallion-knob-1-1""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-138-bb-hammered-medallion-knob-1-1""},{""name"":""Pewter"",""hand..."
ATL:138,atlas-homewares-138-o-hammered-medallion-knob-1-1,ATL-138-O,Hammered Medallion Knob 1 1/2'' Aged Bronze 138-O,Atlas Homewares,Aged Bronze,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-138-o-hammered-medallion-knob-1-1""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-138-bb-hammered-medallion-knob-1-1""},{""name"":""Pewter"",""hand..."
ATL:138,atlas-homewares-138-p-hammered-medallion-knob-1-1,ATL-138-P,Hammered Medallion Knob 1 1/2'' Pewter 138-P,Atlas Homewares,Pewter,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-138-o-hammered-medallion-knob-1-1""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-138-bb-hammered-medallion-knob-1-1""},{""name"":""Pewter"",""hand..."
ATL:138,atlas-homewares-138-r-hammered-medallion-knob-1-1,ATL-138-R,Hammered Medallion Knob 1 1/2'' Rust 138-R,Atlas Homewares,Rust,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-138-o-hammered-medallion-knob-1-1""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-138-bb-hammered-medallion-knob-1-1""},{""name"":""Pewter"",""hand..."
ATL:138,atlas-homewares-138-vb-hammered-medallion-knob-1-1,ATL-138-VB,Hammered Medallion Knob 1 1/2'' Venetian Bronze 138-VB,Atlas Homewares,Venetian Bronze,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-138-o-hammered-medallion-knob-1-1""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-138-bb-hammered-medallion-knob-1-1""},{""name"":""Pewter"",""hand..."
ATL:140,atlas-homewares-140-brn-limited-editions-scroll-knob-1-1,ATL-140-BRN,Limited Editions Scroll Knob 1 1/2'' Brushed Nickel 140-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-140-brn-limited-editions-scroll-knob-1-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-140-p-limited-editions-scroll-knob-1-1""},{""name"":""Polished ..."
ATL:140,atlas-homewares-140-ch-limited-editions-scroll-knob-1-1,ATL-140-CH,Limited Editions Scroll Knob 1 1/2'' Polished Chrome 140-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-140-brn-limited-editions-scroll-knob-1-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-140-p-limited-editions-scroll-knob-1-1""},{""name"":""Polished ..."
ATL:140,atlas-homewares-140-p-limited-editions-scroll-knob-1-1,ATL-140-P,Limited Editions Scroll Knob 1 1/2'' Pewter 140-P,Atlas Homewares,Pewter,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-140-brn-limited-editions-scroll-knob-1-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-140-p-limited-editions-scroll-knob-1-1""},{""name"":""Polished ..."
ATL:142,atlas-homewares-142-bb-nautical,ATL-142-BB,Nautical/Ocean Starfish Knob 2'' Burnished Bronze 142-BB,Atlas Homewares,Burnished Bronze,yes,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-142-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-142-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-142-v-nautical""}]"
ATL:142,atlas-homewares-142-p-nautical,ATL-142-P,Nautical/Ocean Starfish Knob 2'' Pewter 142-P,Atlas Homewares,Pewter,no,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-142-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-142-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-142-v-nautical""}]"
ATL:142,atlas-homewares-142-v-nautical,ATL-142-V,Nautical/Ocean Starfish Knob 2'' Verdigris 142-V,Atlas Homewares,Verdigris,no,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-142-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-142-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-142-v-nautical""}]"
ATL:143,atlas-homewares-143-bb-nautical,ATL-143-BB,Nautical/Ocean Clamshell Knob 2'' Burnished Bronze 143-BB,Atlas Homewares,Burnished Bronze,yes,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-143-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-143-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-143-v-nautical""}]"
ATL:143,atlas-homewares-143-p-nautical,ATL-143-P,Nautical/Ocean Clamshell Knob 2'' Pewter 143-P,Atlas Homewares,Pewter,no,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-143-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-143-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-143-v-nautical""}]"
ATL:143,atlas-homewares-143-v-nautical,ATL-143-V,Nautical/Ocean Clamshell Knob 2'' Verdigris 143-V,Atlas Homewares,Verdigris,no,3,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-143-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-143-p-nautical""},{""name"":""Verdigris"",""handle"":""atlas-homewares-143-v-nautical""}]"
ATL:184,atlas-homewares-184-o-nature-california-leaf-knob-2-1,ATL-184-O,Nature California Leaf Knob 2 1/2'' Aged Bronze 184-O,Atlas Homewares,Aged Bronze,yes,1,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-184-o-nature-california-leaf-knob-2-1""}]"
ATL:185,atlas-homewares-185-o-nature-california-leaf-pull-3-cc-aged-bronze,ATL-185-O,Nature California Leaf Pull 3'' cc Aged Bronze 185-O,Atlas Homewares,Aged Bronze,yes,1,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-185-o-nature-california-leaf-pull-3-cc-aged-bronze""}]"
ATL:190L,atlas-homewares-190l-bb-nautical,ATL-190L-BB,Nautical/Ocean Mermaid Knob Left 2 1/2'' Burnished Bronze 190L-BB,Atlas Homewares,Burnished Bronze,yes,2,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-190l-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-190l-p-nautical""}]"
ATL:190L,atlas-homewares-190l-p-nautical,ATL-190L-P,Nautical/Ocean Mermaid Knob Left 2 1/2'' Pewter 190L-P,Atlas Homewares,Pewter,no,2,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-190l-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-190l-p-nautical""}]"
ATL:190R,atlas-homewares-190r-bb-nautical,ATL-190R-BB,Nautical/Ocean Mermaid Knob Right 2 1/2'' Burnished Bronze 190R-BB,Atlas Homewares,Burnished Bronze,yes,2,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-190r-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-190r-p-nautical""}]"
ATL:190R,atlas-homewares-190r-p-nautical,ATL-190R-P,Nautical/Ocean Mermaid Knob Right 2 1/2'' Pewter 190R-P,Atlas Homewares,Pewter,no,2,"[{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-190r-bb-nautical""},{""name"":""Pewter"",""handle"":""atlas-homewares-190r-p-nautical""}]"
ATL:2106,atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze,ATL-2106-BB,Nature Twig Pull 3'' cc Burnished Bronze 2106-BB,Atlas Homewares,Burnished Bronze,yes,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze""},{""n..."
ATL:2106,atlas-homewares-2106-i-nature-twig-pull-3-cc-iron,ATL-2106-I,Nature Twig Pull 3'' cc Iron 2106-I,Atlas Homewares,Iron,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze""},{""n..."
ATL:2106,atlas-homewares-2106-no-nature-twig-pull-3-cc-pewter,ATL-2106-NO,Nature Twig Pull 3'' cc Pewter 2106-NO,Atlas Homewares,Pewter,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze""},{""n..."
ATL:2106,atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze,ATL-2106-O,Nature Twig Pull 3'' cc Aged Bronze 2106-O,Atlas Homewares,Aged Bronze,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze""},{""n..."
ATL:2106,atlas-homewares-2106-r-nature-twig-pull-3-cc-rust,ATL-2106-R,Nature Twig Pull 3'' cc Rust 2106-R,Atlas Homewares,Rust,no,5,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2106-o-nature-twig-pull-3-cc-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2106-bb-nature-twig-pull-3-cc-burnished-bronze""},{""n..."
ATL:215,atlas-homewares-215-brn-craftsman-modern-pull-5-1,ATL-215-BRN,Craftsman Modern Pull 5 1/2'' cc Brushed Nickel 215-BRN,Atlas Homewares,Brushed Nickel,yes,3,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-215-o-craftsman-modern-pull-5-1""},{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-215-brn-craftsman-modern-pull-5-1""},{""name"":""Venetian Bronze"",""..."
ATL:215,atlas-homewares-215-o-craftsman-modern-pull-5-1,ATL-215-O,Craftsman Modern Pull 5 1/2'' cc Aged Bronze 215-O,Atlas Homewares,Aged Bronze,no,3,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-215-o-craftsman-modern-pull-5-1""},{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-215-brn-craftsman-modern-pull-5-1""},{""name"":""Venetian Bronze"",""..."
ATL:215,atlas-homewares-215-vb-craftsman-modern-pull-5-1,ATL-215-VB,Craftsman Modern Pull 5 1/2'' cc Venetian Bronze 215-VB,Atlas Homewares,Venetian Bronze,no,3,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-215-o-craftsman-modern-pull-5-1""},{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-215-brn-craftsman-modern-pull-5-1""},{""name"":""Venetian Bronze"",""..."
ATL:2173,atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnished-bronze,ATL-2173-BB,Nature Vineyard Grapes Knob 2'' Burnished Bronze 2173-BB,Atlas Homewares,Burnished Bronze,yes,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2173-o-nature-vineyard-grapes-knob-2-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnis..."
ATL:2173,atlas-homewares-2173-no-nature-vineyard-grapes-knob-2-pewter,ATL-2173-NO,Nature Vineyard Grapes Knob 2'' Pewter 2173-NO,Atlas Homewares,Pewter,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2173-o-nature-vineyard-grapes-knob-2-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnis..."
ATL:2173,atlas-homewares-2173-o-nature-vineyard-grapes-knob-2-aged-bronze,ATL-2173-O,Nature Vineyard Grapes Knob 2'' Aged Bronze 2173-O,Atlas Homewares,Aged Bronze,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-2173-o-nature-vineyard-grapes-knob-2-aged-bronze""},{""name"":""Burnished Bronze"",""handle"":""atlas-homewares-2173-bb-nature-vineyard-grapes-knob-2-burnis..."
